title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,media_thumbnail,href
Ten Hag Q&A: Man Utd boss has 'left behind' job review,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Ten Hag Q&A: Man Utd boss has 'left behind' job review""}",Manchester United manager Erik ten Hag answers questions from BBC Sport's Simon Stone on the 'football review' and his hopes for the new season.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Manchester United manager Erik ten Hag answers questions from BBC Sport's Simon Stone on the 'football review' and his hopes for the new season.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/cgerenr1ddno'}]",https://www.bbc.com/sport/football/articles/cgerenr1ddno,https://www.bbc.com/sport/football/articles/cgerenr1ddno#0,False,"Fri, 02 Aug 2024 08:01:05 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=8, tm_min=1, tm_sec=5, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/638d/live/ce88a9e0-50aa-11ef-aebc-6de4d31bf5cd.jpg'}]",
Rangers manager Clement agrees new deal,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Rangers manager Clement agrees new deal'}",Rangers manager Philippe Clement signs a contract extension until the summer of 2028.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Rangers manager Philippe Clement signs a contract extension until the summer of 2028.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c03l3n8p9ejo'}]",https://www.bbc.com/sport/football/articles/c03l3n8p9ejo,https://www.bbc.com/sport/football/articles/c03l3n8p9ejo#0,False,"Fri, 02 Aug 2024 09:28:23 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=9, tm_min=28, tm_sec=23, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/34d4/live/5adde620-50b1-11ef-9462-ef4aa241f684.jpg'}]",
'Celtic hold all the aces at home amid clamour for more ambition',"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""'Celtic hold all the aces at home amid clamour for more ambition'""}","Celtic begin the quest for yet another title in a position of strength but manager Brendan Rodgers ""does not want to live in a comfort zone"", writes Tom English.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Celtic begin the quest for yet another title in a position of strength but manager Brendan Rodgers ""does not want to live in a comfort zone"", writes Tom English.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c87rz2p3k8mo'}]",https://www.bbc.com/sport/football/articles/c87rz2p3k8mo,https://www.bbc.com/sport/football/articles/c87rz2p3k8mo#0,False,"Fri, 02 Aug 2024 07:25:59 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=7, tm_min=25, tm_sec=59, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/7738/live/5c1e0320-4ff4-11ef-84d2-6dfa3a7469fb.jpg'}]",
Ex-Leicester boss Shakespeare dies aged 60,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Ex-Leicester boss Shakespeare dies aged 60'}","Former Leicester City manager Craig Shakespeare has died at the age of 60, his family have announced.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Former Leicester City manager Craig Shakespeare has died at the age of 60, his family have announced.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c727p2mmzxpo'}]",https://www.bbc.com/sport/football/articles/c727p2mmzxpo,https://www.bbc.com/sport/football/articles/c727p2mmzxpo#0,False,"Thu, 01 Aug 2024 18:34:21 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=34, tm_sec=21, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/de9a/live/c55d8030-5036-11ef-8661-8142c258b304.jpg'}]",
51 moves and going strong at 45 - meet football's ultimate journeyman,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""51 moves and going strong at 45 - meet football's ultimate journeyman""}","As he gets ready to embark on yet another season, BBC Sport meets Jefferson Louis - football's ultimate journeyman - who has changed clubs a remarkable 51 times.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""As he gets ready to embark on yet another season, BBC Sport meets Jefferson Louis - football's ultimate journeyman - who has changed clubs a remarkable 51 times.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c51ynqw5re2o'}]",https://www.bbc.com/sport/football/articles/c51ynqw5re2o,https://www.bbc.com/sport/football/articles/c51ynqw5re2o#0,False,"Fri, 02 Aug 2024 05:52:04 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=5, tm_min=52, tm_sec=4, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/c9ff/live/f7f80040-4ff2-11ef-8f0f-0577398c3339.png'}]",
Fulham make £20m bid for Man Utd's McTominay,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Fulham make £20m bid for Man Utd's McTominay""}","Manchester United reject a second bid from Fulham, understood to be £20m for midfielder Scott McTominay.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Manchester United reject a second bid from Fulham, understood to be £20m for midfielder Scott McTominay.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/articles/c724p4dxqj9o'}]",https://www.bbc.com/sport/articles/c724p4dxqj9o,https://www.bbc.com/sport/articles/c724p4dxqj9o#0,False,"Fri, 02 Aug 2024 04:52:35 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=4, tm_min=52, tm_sec=35, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/e7ad/live/f9cb4b50-508f-11ef-8756-310bacb4bc28.jpg'}]",
Argentina and France set for grudge Olympics match,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Argentina and France set for grudge Olympics match'}",France meet Argentina for a potential grudge match as the men's Olympics football quarter-finals take place on Friday.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""France meet Argentina for a potential grudge match as the men's Olympics football quarter-finals take place on Friday.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/olympics/articles/crg7yvxk4mxo'}]",https://www.bbc.com/sport/olympics/articles/crg7yvxk4mxo,https://www.bbc.com/sport/olympics/articles/crg7yvxk4mxo#0,False,"Fri, 02 Aug 2024 05:14:10 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=5, tm_min=14, tm_sec=10, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/b1bc/live/42662f00-4f47-11ef-aa3d-8d9698a4dd32.jpg'}]",
Three things we learned from Arsenal's America tour,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Three things we learned from Arsenal's America tour""}","Arsenal have Manchester City in their sights in the new Premier League season, says chief football news reporter Simon Stone.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Arsenal have Manchester City in their sights in the new Premier League season, says chief football news reporter Simon Stone.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c3gr5y3dezyo'}]",https://www.bbc.com/sport/football/articles/c3gr5y3dezyo,https://www.bbc.com/sport/football/articles/c3gr5y3dezyo#0,False,"Thu, 01 Aug 2024 21:55:37 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=55, tm_sec=37, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/420a/live/1169df10-500e-11ef-a64a-6775cc5bfd22.jpg'}]",
Palace sign ex-Watford winger Sarr from Marseille,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Palace sign ex-Watford winger Sarr from Marseille'}",Crystal Palace sign winger Ismaila Sarr from Marseille for a fee in the region of £12.5m.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Crystal Palace sign winger Ismaila Sarr from Marseille for a fee in the region of £12.5m.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c1rwvv1d07po'}]",https://www.bbc.com/sport/football/articles/c1rwvv1d07po,https://www.bbc.com/sport/football/articles/c1rwvv1d07po#0,False,"Thu, 01 Aug 2024 17:19:03 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=19, tm_sec=3, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/1c91/live/063dc4c0-5028-11ef-a29e-db4deeb6efa1.jpg'}]",
I am here for the project and to win trophies - Ten Hag,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'I am here for the project and to win trophies - Ten Hag'}","Manchester United manager Erik ten Hag speaks to BBC Sport's Simon Stone in Los Angeles, on the club’s pre-season trip to the United States.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Manchester United manager Erik ten Hag speaks to BBC Sport's Simon Stone in Los Angeles, on the club’s pre-season trip to the United States.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/videos/c3gdg8r2nn1o'}]",https://www.bbc.com/sport/football/videos/c3gdg8r2nn1o,https://www.bbc.com/sport/football/videos/c3gdg8r2nn1o#0,False,"Fri, 02 Aug 2024 08:38:41 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=8, tm_min=38, tm_sec=41, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/10fe/live/967f07d0-50a8-11ef-aebc-6de4d31bf5cd.jpg'}]",
